,ash,body,box,burial,composted,composting,cool,cremation,earth,good,like,love,make,need,think,tree,use,want,year,yes
ash,0,0,2,0,1,1,1,4,0,0,2,0,0,1,1,0,0,4,0,0
body,0,0,0,0,1,1,0,0,3,0,2,1,0,1,2,1,2,2,0,0
box,2,0,0,0,0,2,0,0,0,1,4,0,0,0,2,1,0,2,0,0
burial,0,0,0,0,1,0,0,3,0,0,1,1,0,2,0,1,0,1,1,0
composted,1,1,0,1,0,1,0,2,0,0,1,0,0,1,0,0,0,2,0,0
composting,1,1,2,0,1,0,0,4,2,1,1,0,0,1,1,0,5,2,2,0
cool,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
cremation,4,0,0,3,2,4,2,0,2,1,1,1,2,1,0,0,0,3,3,0
earth,0,3,0,0,0,2,0,2,0,0,1,1,0,0,3,0,1,1,1,0
good,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
like,2,2,4,1,1,1,0,1,1,1,0,0,0,1,2,0,1,3,0,0
love,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
make,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
need,1,1,0,2,1,1,0,1,0,1,1,0,0,0,0,1,0,2,0,0
think,1,2,2,0,0,1,0,0,3,0,2,0,0,0,0,0,2,1,1,0
tree,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
use,0,2,0,0,0,5,0,0,1,1,1,0,0,0,2,0,0,0,0,0
want,4,2,2,1,2,2,0,3,1,0,3,0,0,2,1,1,0,0,0,1
year,0,0,0,1,0,2,0,3,1,0,0,0,1,0,1,0,0,0,0,0
yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
